dataset,ir,seed,base_ece,base_brier,base_auc,base_pr_auc,base_f1,smote_ece,smote_brier,smote_auc,smote_pr_auc,smote_f1,smote_iso_ece,smote_iso_brier,smote_iso_auc,smote_iso_pr_auc,smote_iso_f1,smote_prior_ece,smote_prior_brier,smote_prior_auc,smote_prior_pr_auc,smote_prior_f1
adult,3.18,0,0.03372152659715628,0.09721790266109603,0.9164972193816441,0.7988105493529211,0.6799775028121485,0.03592939643393208,0.09959122599492687,0.9124962113699258,0.788514269639505,0.6705587989991659,0.011853386326992819,0.10185451306642009,0.9044875840260195,0.7653070273173865,0.6435199042202934,0.08203187277003716,0.1111592175527944,0.9124962113699258,0.788514269639505,0.5671223273746933
adult,3.18,1,0.03545995322905244,0.09723255533812236,0.9161282304242664,0.7995589793445785,0.6861971830985916,0.03603121822329624,0.10028710664849516,0.9114918916876813,0.7874593963430865,0.6754966887417219,0.01418930059894912,0.1022458494397799,0.9022665237934555,0.7654631619343282,0.6484601975595584,0.08146622796921432,0.11128020564261983,0.9114918916876813,0.7874593963430865,0.5700416088765603
adult,3.18,2,0.036945006397390914,0.09763343685268548,0.9166309483638698,0.7998238806621298,0.6884604638167086,0.03394238149629704,0.09933888031213246,0.9130884397197829,0.7895680924744898,0.6825574873808189,0.012342240743625832,0.10142465508845011,0.9043924497003011,0.7694772610071723,0.6326344576116681,0.08153675998363649,0.11097114643217304,0.9130884397197829,0.7895680924744898,0.5751814725198756
adult,3.18,3,0.034050630359699116,0.09713178333765587,0.9162556915312419,0.8006630803592164,0.6828032648466085,0.034139309756240264,0.0980315376288714,0.9143037635585733,0.7959087207255389,0.6867167919799498,0.01486394201627552,0.1006085470003055,0.9062471397452838,0.7683725222013618,0.6514697060587883,0.08131972515252191,0.10946602793429033,0.9143037635585733,0.7959087207255389,0.5774991292232672
adult,3.18,4,0.0316079124769773,0.09704027806227124,0.9163487651856451,0.8005614975499933,0.6813063063063063,0.03282474946738263,0.09938687893078833,0.9125052268069298,0.7903689534456969,0.6820841460016718,0.00930413112516902,0.10037053340301501,0.9079189452110428,0.7720690493269047,0.6619519094766619,0.08124093129206097,0.11074989723821109,0.9125052268069298,0.7903689534456969,0.5751043115438108
adult,3.18,5,0.037592823122471836,0.098460192480027,0.9137815980334328,0.7954921797591087,0.6769662921348315,0.034799539509322644,0.10004535726585508,0.9118671055896567,0.7885204448084137,0.6769403194172037,0.013114863033703468,0.10019441741369159,0.9063395265092486,0.7719814557202641,0.6610020509815412,0.08259399506205539,0.11123441134089866,0.9118671055896567,0.7885204448084137,0.5820689655172414
adult,3.18,6,0.03252490302872115,0.09577491234739637,0.9179942112308304,0.8042026540570247,0.6922209695603156,0.03199389568094597,0.09821400070436694,0.9146753712857474,0.795454515325489,0.6902850816495987,0.01571428894323756,0.10154724917223346,0.9064493001874353,0.7685291237638865,0.6511357018054746,0.08054832571109512,0.10930778213322787,0.9146753712857474,0.795454515325489,0.5894881484026108
adult,3.18,7,0.03509044505741719,0.09644668181286432,0.9167578084417118,0.8020496765805387,0.6867435969603152,0.03597206544381846,0.09928647964836308,0.9123074882219755,0.7888431202282378,0.6806020066889632,0.01258678387083162,0.10265379659376196,0.9017381762543693,0.7636414377281241,0.6371627765989694,0.08189901961289384,0.11087010435274662,0.9123074882219755,0.7888431202282378,0.5727209464161448
adult,3.18,8,0.035172161057483796,0.09777414369008047,0.915484785806096,0.7968545510637403,0.6789458770189856,0.03737831130270337,0.10004075937289932,0.9119313298456471,0.7885856668175859,0.6770514603616133,0.013513731695091093,0.10012440477698543,0.9076009578687163,0.773722399447953,0.645045045045045,0.08235627726149142,0.11128433481328592,0.9119313298456471,0.7885856668175859,0.5756097560975609
adult,3.18,9,0.03301743736904999,0.09640522611509533,0.9172268687498337,0.8024128382621715,0.6871476888387824,0.03343350804376202,0.09873571448366213,0.9132014761275521,0.7929755839962991,0.6801120448179272,0.015556449482506198,0.09977760699803417,0.9067597317349394,0.7798218022951414,0.6450635978195033,0.08170379153596023,0.1102775041804574,0.9132014761275521,0.7929755839962991,0.578397212543554
yeast_ml8,70.09,0,0.013961218437826226,0.014061812978042746,0.855187479943719,0.08352540531409762,0.0,0.015423717635057869,0.01512366176867856,0.8979289575670806,0.12206751396292816,0.09302325581395349,0.003530948380814078,0.014092180435584514,0.8210918022265558,0.0633118849350797,0.0,0.014483930650586108,0.01430534448233547,0.8979289575670806,0.12206751396292816,0.0
yeast_ml8,70.09,1,0.014328019304673773,0.014174498538338345,0.8549036064278838,0.06406421763134626,0.0,0.016698544265149114,0.01650557492713082,0.8781442077460443,0.12044132931501449,0.11320754716981132,0.004651650584890447,0.014606547976076412,0.7391572659277728,0.06806155360736317,0.09523809523809523,0.01398031821033024,0.013892416644073896,0.8781442077460443,0.12044132931501449,0.05555555555555555
yeast_ml8,70.09,2,0.014377641729774772,0.014231349709546726,0.841141912073264,0.08544221401947885,0.0,0.01759514335831218,0.016902574407319366,0.8986818395003826,0.08947045185783462,0.045454545454545456,0.005172741625301881,0.013716767923923888,0.829848683073733,0.06886574979280069,0.0,0.014951060976113326,0.01458372290827151,0.8986818395003826,0.08947045185783462,0.05263157894736842
yeast_ml8,70.09,3,0.013980991513207112,0.014044933122595,0.8802670879514206,0.09517993102289685,0.0,0.017304799292012778,0.016474530938273203,0.8612969316975637,0.11532796448765666,0.08333333333333333,0.006072840953498544,0.014171845225926582,0.8127545604897435,0.05871063117900946,0.0,0.014413171183575053,0.014066176456564994,0.8612969316975637,0.11532796448765666,0.10526315789473684
yeast_ml8,70.09,4,0.014643419067195204,0.014398659624616667,0.8604082841697317,0.07349896393627513,0.0,0.01869422991305967,0.01837930575256156,0.8871664486188936,0.10155418909502777,0.038461538461538464,0.006211272609130013,0.013398209742522425,0.82809607267162,0.1075089303021402,0.0,0.015258565534160853,0.014927784281444112,0.8871664486188936,0.10155418909502777,0.05128205128205128
yeast_ml8,70.09,5,0.013792503793611598,0.01374341870075553,0.8658018809706006,0.12966321868173766,0.0,0.014557372197393746,0.014841310255332179,0.8930907654711066,0.1413746628437962,0.047619047619047616,0.0028417445926745767,0.013896182029867027,0.8302559798573228,0.06850662928907109,0.05128205128205128,0.014687473764416793,0.014415685958739799,0.8930907654711066,0.1413746628437962,0.05263157894736842
